City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,papao,-17.75,-149.55,24.82000000000005,78,38,3.11,PF,2024-04-22
199,sao felix do xingu,-6.6447,-51.995,23.53000000000003,98,100,0.49,BR,2024-04-22
200,hami,42.8,93.45,24.420000000000016,10,2,1.05,CN,2024-04-22
201,arenapolis,-14.4503,-56.8461,22.840000000000032,97,89,1.76,BR,2024-04-22
202,kalmunai,7.4167,81.8167,30.49000000000001,72,14,5.74,LK,2024-04-22
203,northam,51.0333,-4.2167,12.590000000000032,78,98,3.21,GB,2024-04-22
204,kushiro,42.975,144.3747,5.53000000000003,70,20,4.12,JP,2024-04-22
205,pyhajarvi,67.0701,27.2176,-5.079999999999984,82,100,3.09,FI,2024-04-22
206,mira monte,34.4336,-119.2851,14.0,94,19,0.56,US,2024-04-22
207,la sarre,48.8002,-79.1996,-8.560000000000002,83,39,2.5,CA,2024-04-22
208,luis correia,-2.8792,-41.6669,29.0,79,20,2.06,BR,2024-04-22
209,mutoko,-17.397,32.2268,28.120000000000005,16,0,2.81,ZW,2024-04-22
210,tiksi,71.6872,128.8694,-8.17999999999995,94,100,7.12,RU,2024-04-22
211,wittichenau,51.385,14.244,7.260000000000048,52,78,3.86,DE,2024-04-22
212,alesund,62.4723,6.1549,9.510000000000048,65,75,3.09,NO,2024-04-22
213,bijie,27.3125,105.2942,14.75,82,88,1.9,CN,2024-04-22
214,east end,34.5507,-92.341,7.4500000000000455,92,0,1.52,US,2024-04-22
215,kovdor,67.5662,30.4758,-5.25,79,100,3.82,RU,2024-04-22
216,caleta de carquin,-11.0925,-77.6267,20.29000000000002,90,60,2.8,PE,2024-04-22
217,howrah,22.5892,88.3103,40.0,22,20,3.09,IN,2024-04-22
218,susuman,62.7833,148.1667,-10.569999999999993,96,36,0.89,RU,2024-04-22
219,santa maria,-29.6842,-53.8069,17.610000000000014,100,75,1.54,BR,2024-04-22
220,andovoranto,-18.95,49.1,28.560000000000002,70,24,2.48,MG,2024-04-22
221,cloverdale,38.8055,-123.0172,13.740000000000009,84,14,0.45,US,2024-04-22
222,matoury,4.8483,-52.3317,24.980000000000018,94,100,0.0,GF,2024-04-22
223,al burayqah,30.4062,19.5739,33.09000000000003,20,100,10.41,LY,2024-04-22
224,arteche,12.2645,125.4048,27.29000000000002,84,34,3.12,PH,2024-04-22
225,cono norte,-16.3166,-71.5829,13.03000000000003,77,18,0.42,PE,2024-04-22
226,sandnessjoen,66.0217,12.6316,7.060000000000002,21,0,2.57,NO,2024-04-22
227,contramaestre,20.2978,-76.2414,21.480000000000018,86,0,1.82,CU,2024-04-22
228,hotan,37.0997,79.9269,26.510000000000048,10,24,5.6,CN,2024-04-22
229,keetmanshoop,-26.5833,18.1333,31.640000000000043,17,30,4.66,NA,2024-04-22
